Date,Open
2020-02-19,7850.0
2020-02-20,8025.0
2020-02-21,7950.0
2020-02-24,7800.0
2020-02-25,7775.0
2020-02-26,7750.0
2020-02-27,7650.0
2020-02-28,6750.0
2020-03-02,7150.0
2020-03-03,7100.0
2020-03-04,7250.0
2020-03-05,7550.0
2020-03-06,7400.0
2020-03-09,7000.0
2020-03-10,6650.0
2020-03-11,6925.0
2020-03-12,6475.0
2020-03-13,6200.0
2020-03-16,6200.0
2020-03-17,5925.0
2020-03-18,5600.0
2020-03-19,5000.0
2020-03-20,4740.0
2020-03-23,4350.0
2020-03-24,4150.0
2020-03-26,3800.0
2020-03-27,4510.0
2020-03-30,4840.0
2020-03-31,4650.0
2020-04-01,4650.0
2020-04-02,4570.0
2020-04-03,4800.0
2020-04-06,5025.0
2020-04-07,5400.0
2020-04-08,5175.0
2020-04-09,4800.0
2020-04-13,4680.0
2020-04-14,4480.0
2020-04-15,4640.0
2020-04-16,4400.0
2020-04-17,4220.0
2020-04-20,4450.0
2020-04-21,4370.0
2020-04-22,4330.0
2020-04-23,4490.0
2020-04-24,4500.0
2020-04-27,4310.0
2020-04-28,4190.0
2020-04-29,4200.0
2020-04-30,4070.0
2020-05-04,4460.0
2020-05-05,4300.0
2020-05-06,4250.0
2020-05-08,4200.0
2020-05-11,4280.0
2020-05-12,4230.0
2020-05-13,3990.0
2020-05-14,3970.0
2020-05-15,3950.0
2020-05-18,3800.0
2020-05-19,3760.0
2020-05-20,3850.0
2020-05-26,4130.0
2020-05-27,4150.0
2020-05-28,4150.0
2020-05-29,4290.0
2020-06-02,4550.0
2020-06-03,4670.0
2020-06-04,4900.0
2020-06-05,4730.0
2020-06-08,5000.0
2020-06-09,5300.0
2020-06-10,5200.0
2020-06-11,4800.0
2020-06-12,4590.0
2020-06-15,4850.0
2020-06-16,4820.0
2020-06-17,5100.0
2020-06-18,4840.0
2020-06-19,4880.0
2020-06-22,4880.0
2020-06-23,4850.0
2020-06-24,4890.0
2020-06-25,5075.0
2020-06-26,5125.0
2020-06-29,4980.0
2020-06-30,5025.0
2020-07-01,5000.0
2020-07-02,4980.0
2020-07-03,4960.0
