ID Lokasi (Referensi Lokasi),Waktu dalam UTC,Suhu Udara (rata-rata) Minimum C,Suhu Udara (rata-rata) Maksimum %,Kelembapan Udara (rata-rata) Minimum %,Kelembapan Udara (rata-rata) Maksimum %,Kelembapan Udara dalam %,Suhu Udara dalam °C,Cuaca berupa kode cuaca,Arah Angin berupa CARD,Kecepatan Angin dalam km/jam
501273,16/10/2024 22:00,,,,,83,21,45,SW,11
501273,16/10/2024 23:00,,,,,79,23,3,SW,12
501273,17/10/2024 00:00,,,,,69,25,3,SW,12
501273,17/10/2024 01:00,,,,,64,26,3,SW,12
501273,17/10/2024 02:00,,,,,60,27,3,SW,12
501273,17/10/2024 03:00,,,,,55,29,4,SW,12
501273,17/10/2024 04:00,,,,,54,29,3,SE,19
501273,17/10/2024 05:00,,,,,56,29,1,SE,19
501273,17/10/2024 06:00,,,,,59,28,3,SE,19
501273,17/10/2024 07:00,,,,,61,28,4,SE,19
501273,17/10/2024 08:00,,,,,62,27,3,SE,19
501273,17/10/2024 09:00,,,,,63,27,3,SE,19
501273,17/10/2024 10:00,,,,,66,26,3,SW,10
501273,17/10/2024 11:00,,,,,71,25,3,SW,10
501273,17/10/2024 12:00,22.0,29.0,54.0,81.0,74,24,1,SW,10
501273,17/10/2024 13:00,,,,,75,24,1,SW,10
501273,17/10/2024 14:00,,,,,76,24,1,SW,10
501273,17/10/2024 15:00,,,,,76,24,1,SW,10
501273,17/10/2024 16:00,,,,,75,23,1,W,11
501273,17/10/2024 17:00,,,,,76,23,1,W,11
501273,17/10/2024 18:00,,,,,76,23,1,W,11
501273,17/10/2024 19:00,,,,,77,23,1,W,11
501273,17/10/2024 20:00,,,,,79,22,1,W,11
501273,17/10/2024 21:00,,,,,80,22,1,W,11
501273,17/10/2024 22:00,,,,,81,22,1,SW,9
501273,17/10/2024 23:00,,,,,77,24,1,SW,9
501273,18/10/2024 00:00,,,,,73,25,1,SW,9
501273,18/10/2024 03:00,,,,,62,28,1,SW,9
501273,18/10/2024 06:00,,,,,58,29,1,S,16
501273,18/10/2024 09:00,,,,,73,26,1,S,16
501273,18/10/2024 12:00,22.0,29.0,58.0,90.0,85,24,1,S,8
501273,18/10/2024 15:00,,,,,88,24,1,S,8
501273,18/10/2024 18:00,,,,,90,23,3,W,8
501273,18/10/2024 21:00,,,,,90,22,5,W,8
501273,19/10/2024 00:00,,,,,77,26,1,SW,7
501273,19/10/2024 03:00,,,,,62,29,1,SW,7
501273,19/10/2024 06:00,,,,,60,29,1,SW,7
501273,19/10/2024 09:00,,,,,73,27,3,SW,7
501273,19/10/2024 12:00,24.0,29.0,60.0,88.0,87,25,3,SW,7
501273,19/10/2024 15:00,,,,,87,24,1,SW,7
501273,19/10/2024 18:00,,,,,87,24,3,SW,7
501273,19/10/2024 21:00,,,,,88,24,4,SW,10
501273,20/10/2024 00:00,,,,,82,25,1,SW,10
501273,20/10/2024 03:00,,,,,75,27,3,SW,10
501273,20/10/2024 06:00,,,,,70,28,3,SW,10
501273,20/10/2024 09:00,,,,,79,26,1,SW,9
501273,20/10/2024 12:00,23.0,28.0,70.0,93.0,90,24,4,SW,9
501273,20/10/2024 15:00,,,,,90,24,4,SW,9
501273,20/10/2024 18:00,,,,,93,23,4,SW,9
501273,20/10/2024 21:00,,,,,93,23,4,SW,9
501273,21/10/2024 00:00,,,,,83,25,1,SW,9
501273,21/10/2024 03:00,,,,,83,25,1,SW,9
501273,21/10/2024 06:00,,,,,66,28,1,SW,9
501273,21/10/2024 09:00,,,,,66,28,1,S,9
501273,21/10/2024 12:00,23.0,28.0,66.0,91.0,86,25,3,S,9
