Tanggal;Terakhir
11/07/2023;5.275
10/07/2023;5.175
07/07/2023;5.150
06/07/2023;5.300
05/07/2023;5.275
04/07/2023;5.250
03/07/2023;5.350
27/06/2023;5.200
26/06/2023;5.125
23/06/2023;5.075
22/06/2023;5.075
21/06/2023;5.100
20/06/2023;5.100
19/06/2023;5.125
16/06/2023;5.150
15/06/2023;5.125
14/06/2023;5.050
13/06/2023;5.100
12/06/2023;5.100
09/06/2023;5.125
08/06/2023;5.025
07/06/2023;5.025
06/06/2023;5.050
05/06/2023;5.075
31/05/2023;5.050
30/05/2023;5.150
29/05/2023;5.150
26/05/2023;5.125
25/05/2023;5.175
24/05/2023;5.075
23/05/2023;5.125
22/05/2023;5.225
19/05/2023;5.075
17/05/2023;5.000
16/05/2023;4.990
15/05/2023;5.050
12/05/2023;5.000
11/05/2023;5.100
10/05/2023;5.075
09/05/2023;5.050
08/05/2023;5.125
05/05/2023;5.175
04/05/2023;5.175
03/05/2023;5.225
02/05/2023;5.250
28/04/2023;5.175
27/04/2023;5.200
26/04/2023;5.200
18/04/2023;5.175
17/04/2023;5.125
14/04/2023;5.225
13/04/2023;5.125
12/04/2023;5.150
11/04/2023;5.100
10/04/2023;5.100
06/04/2023;5.175
05/04/2023;5.225
04/04/2023;5.200
03/04/2023;5.263
31/03/2023;5.163
30/03/2023;5.113
29/03/2023;5.175
28/03/2023;5.063
27/03/2023;5.100
24/03/2023;5.450
21/03/2023;5.250
20/03/2023;5.000
17/03/2023;5.050
16/03/2023;4.925
15/03/2023;5.025
14/03/2023;4.963
13/03/2023;5.175
10/03/2023;5.188
09/03/2023;5.225
08/03/2023;5.138
07/03/2023;5.088
06/03/2023;5.063
03/03/2023;5.025
02/03/2023;5.113
01/03/2023;5.050
28/02/2023;5.000
27/02/2023;5.075
24/02/2023;5.063
23/02/2023;5.038
22/02/2023;5.000
21/02/2023;5.100
20/02/2023;5.138
17/02/2023;5.150
16/02/2023;5.088
15/02/2023;5.113
14/02/2023;5.188
13/02/2023;5.175
10/02/2023;5.150
09/02/2023;5.125
08/02/2023;5.100
07/02/2023;5.088
06/02/2023;4.938
03/02/2023;4.963
02/02/2023;4.863
01/02/2023;4.850
31/01/2023;4.975
30/01/2023;4.975
27/01/2023;5.013
26/01/2023;4.913
25/01/2023;4.850
24/01/2023;4.950
20/01/2023;4.988
19/01/2023;4.875
18/01/2023;4.775
17/01/2023;4.875
16/01/2023;4.650
13/01/2023;4.588
12/01/2023;4.600
11/01/2023;4.475
10/01/2023;4.638
09/01/2023;4.863
06/01/2023;4.900
05/01/2023;4.913
04/01/2023;5.013
03/01/2023;4.975
02/01/2023;4.938
30/12/2022;4.963
29/12/2022;4.988
28/12/2022;4.988
27/12/2022;4.975
26/12/2022;5.025
23/12/2022;4.963
22/12/2022;4.975
21/12/2022;5.000
20/12/2022;5.025
19/12/2022;5.000
16/12/2022;5.050
15/12/2022;4.950
14/12/2022;4.975
13/12/2022;4.950
12/12/2022;4.975
09/12/2022;4.963
08/12/2022;5.025
07/12/2022;5.188
06/12/2022;5.450
05/12/2022;5.438
02/12/2022;5.263
01/12/2022;5.200
30/11/2022;5.263
29/11/2022;5.163
28/11/2022;5.063
25/11/2022;5.088
24/11/2022;5.113
23/11/2022;5.100
22/11/2022;5.063
21/11/2022;5.050
18/11/2022;5.088
17/11/2022;4.950
16/11/2022;5.000
15/11/2022;5.125
14/11/2022;5.125
11/11/2022;5.213
10/11/2022;5.050
09/11/2022;5.075
08/11/2022;5.075
07/11/2022;5.125
04/11/2022;5.075
03/11/2022;5.088
02/11/2022;5.038
01/11/2022;5.200
31/10/2022;5.275
28/10/2022;5.100
27/10/2022;5.100
26/10/2022;5.100
25/10/2022;5.113
24/10/2022;5.125
21/10/2022;5.175
20/10/2022;4.950
19/10/2022;4.738
18/10/2022;4.750
17/10/2022;4.725
14/10/2022;4.700
13/10/2022;4.738
12/10/2022;4.713
11/10/2022;4.650
10/10/2022;4.650
07/10/2022;4.713
06/10/2022;4.663
05/10/2022;4.638
04/10/2022;4.613
03/10/2022;4.638
30/09/2022;4.713
29/09/2022;4.625
28/09/2022;4.650
27/09/2022;4.675
26/09/2022;4.625
23/09/2022;4.600
22/09/2022;4.600
21/09/2022;4.638
20/09/2022;4.600
19/09/2022;4.613
16/09/2022;4.550
