Date;Price;Open;High;Low;Vol;Change
03/20/2024;25344,00;25345,00;26060,00;25175,00;3.52K;-0.12%
03/19/2024;25375,00;25535,00;25600,00;25165,00;3.12K;-0.51%
03/18/2024;25506,00;25610,00;25770,00;25395,00;2.84K;-0.44%
03/15/2024;25620,00;25250,00;25880,00;25235,00;2.75K;1.28%
03/14/2024;25296,00;25465,00;25595,00;25190,00;3.92K;-0.38%
03/13/2024;25393,00;24545,00;25485,00;24520,00;5.68K;3.14%
03/12/2024;24620,00;24930,00;25115,00;24455,00;4.34K;-1.28%
03/11/2024;24940,00;24780,00;24955,00;24670,00;3.55K;0.67%
03/08/2024;24773,00;24770,00;25070,00;24620,00;3.73K;-0.11%
03/07/2024;24801,00;24615,00;24950,00;24440,00;4.83K;0.34%
03/06/2024;24717,00;24080,00;24750,00;24010,00;3.28K;2.11%
03/05/2024;24206,00;24380,00;24665,00;24075,00;6.36K;-0.03%
03/04/2024;24214,00;23535,00;24375,00;23470,00;2.03K;2.69%
03/01/2024;23580,00;23085,00;23700,00;22985,00;1.78K;2.07%
02/29/2024;23102,00;22875,00;23215,00;22720,00;1.26K;1.09%
02/28/2024;22852,00;22890,00;22935,00;22695,00;1.83K;0.42%
02/27/2024;22757,00;22735,00;22930,00;22625,00;47.05K;0.10%
02/26/2024;22735,00;23180,00;23180,00;22675,00;43.53K;-1.96%
02/23/2024;23189,00;23005,00;23240,00;22800,00;31.13K;0.81%
02/22/2024;23003,00;23155,00;23415,00;22975,00;21.22K;-0.39%
02/21/2024;23094,00;23260,00;23430,00;23010,00;17.80K;-1.10%
02/20/2024;23351,00;23675,00;23715,00;23170,00;25.42K;1.51%
02/19/2024;23003,00;23455,00;23508,00;22988,00;;-1.92%
02/18/2024;23453,00;23473,00;23480,00;23420,00;;-0.98%
02/16/2024;23686,00;23185,00;23765,00;23055,00;13.42K;2.24%
02/15/2024;23166,00;22640,00;23305,00;22620,00;15.96K;2.51%
02/14/2024;22599,00;22365,00;22725,00;22190,00;16.88K;1.05%
02/13/2024;22365,00;22950,00;23240,00;22245,00;22.60K;-2.68%
02/12/2024;22982,00;22860,00;23360,00;22790,00;21.47K;0.76%
02/09/2024;22809,00;22870,00;23000,00;22640,00;10.61K;-0.18%
02/08/2024;22851,00;22495,00;22915,00;22420,00;12.05K;1.22%
02/07/2024;22576,00;22715,00;22735,00;22490,00;10.81K;-0.53%
02/06/2024;22697,00;22645,00;22790,00;22565,00;4.66K;0.25%
02/05/2024;22640,00;23030,00;23030,00;22550,00;5.05K;-1.63%
02/02/2024;23016,00;23490,00;23575,00;22710,00;7.31K;-1.88%
02/01/2024;23457,00;23315,00;23575,00;22830,00;4.54K;0.28%
01/31/2024;23392,00;23500,00;23650,00;23115,00;4.10K;-0.25%
01/30/2024;23450,00;23550,00;23650,00;23285,00;4.66K;-0.10%
01/29/2024;23474,00;23230,00;23560,00;23115,00;3.02K;1.64%
01/26/2024;23095,00;23235,00;23315,00;23040,00;2.76K;-0.23%
01/25/2024;23148,00;22985,00;23360,00;22985,00;3.15K;0.17%
01/24/2024;23108,00;22790,00;23305,00;22695,00;2.40K;1.89%
01/23/2024;22679,00;22430,00;22800,00;22385,00;2.44K;0.73%
01/22/2024;22515,00;22960,00;22990,00;22265,00;3.71K;-1.82%
01/19/2024;22933,00;23110,00;23200,00;22840,00;1.40K;-0.42%
01/18/2024;23029,00;22920,00;23120,00;22750,00;1.54K;0.61%
01/17/2024;22890,00;23280,00;23290,00;22885,00;1.93K;-1.84%
01/16/2024;23318,00;23560,00;23715,00;23250,00;2.18K;-0.04%
01/15/2024;23328,00;23323,00;23497,00;23273,00;;0.02%
01/14/2024;23323,00;23350,00;23352,00;23317,00;;-1.00%
01/12/2024;23558,00;23190,00;23935,00;23170,00;2.35K;2.72%
01/11/2024;22934,00;23315,00;23610,00;22860,00;2.64K;-1.55%
01/10/2024;23296,00;23395,00;23515,00;23170,00;2.24K;-0.11%
01/09/2024;23321,00;23550,00;23775,00;23315,00;1.75K;-0.93%
