Date;Price;Open;High;Low;Vol;Change
05/14/2024;28994;28755;29265;28620;3.93K;0.90%
05/13/2024;28736;28735;28910;28480;2.60K;-0.22%
05/10/2024;28799;28835;29290;28570;3.34K;0.50%
05/09/2024;28657;27885;28865;27840;5.30K;2.75%
05/08/2024;27891;27760;28000;27545;2.72K;0.22%
05/07/2024;27831;27980;28045;27675;2.68K;-0.24%
05/06/2024;27898;27085;28005;26945;2.86K;3.43%
05/03/2024;26972;27205;27375;26640;2.78K;-0.51%
05/02/2024;27109;27225;27335;26550;2.75K;0.30%
05/01/2024;27028;26905;27530;26860;1.20K;0.35%
04/30/2024;26935;27700;27720;26820;2.75K;-3.60%
04/29/2024;27942;27755;28015;27525;1.46K;1.48%
04/26/2024;27535;27785;28025;27370;59.55K;-0.35%
04/25/2024;27633;27500;27890;27280;47.80K;0.04%
04/24/2024;27622;27615;27795;27340;33.57K;-0.06%
04/23/2024;27638;27500;27695;26990;42.35K;0.43%
04/22/2024;27521;29060;29070;27430;39.50K;-5.52%
04/19/2024;29128;28575;29290;28405;21.79K;1.62%
04/18/2024;28663;28535;29005;28490;17.95K;-0.06%
04/17/2024;28679;28465;29165;28420;18.30K;0.09%
04/16/2024;28654;29235;29370;28310;18.87K;-1.17%
04/15/2024;28992;28400;29255;27935;21.86K;1.35%
04/12/2024;28607;28825;30190;28235;29.22K;0.28%
04/11/2024;28527;28320;28875;28120;19.89K;0.70%
04/10/2024;28330;28525;28915;27920;23.88K;0.24%
04/09/2024;28261;28205;28720;28005;23.22K;0.63%
04/08/2024;28083;27830;28460;27235;22.78K;1.10%
04/05/2024;27777;27345;27885;26670;25.95K;0.97%
04/04/2024;27511;27565;27700;27055;9.54K;0.70%
04/03/2024;27321;26550;27580;26495;12.60K;4.39%
04/02/2024;26173;25465;26525;25445;7.45K;3.38%
04/01/2024;25318;25370;25745;25110;5.05K;0.87%
03/29/2024;25100;25100;25100;25100;;-0.23%
03/28/2024;25159;25000;25350;24760;3.20K;0.66%
03/27/2024;24995;24855;25025;24695;4.48K;0.52%
03/26/2024;24866;25065;25280;24765;7.14K;-1.07%
03/25/2024;25134;25095;25290;24970;2.86K;0.20%
03/22/2024;25084;25160;25345;24825;3.20K;-0.65%
03/21/2024;25248;26015;26200;25065;4.35K;-0.38%
03/20/2024;25344;25345;26060;25175;3.52K;-0.12%
03/19/2024;25375;25535;25600;25165;3.12K;-0.51%
03/18/2024;25506;25610;25770;25395;2.84K;-0.44%
03/15/2024;25620;25250;25880;25235;2.75K;1.28%
03/14/2024;25296;25465;25595;25190;3.92K;-0.38%
03/13/2024;25393;24545;25485;24520;5.68K;3.14%
03/12/2024;24620;24930;25115;24455;4.34K;-1.28%
03/11/2024;24940;24780;24955;24670;3.55K;0.67%
03/08/2024;24773;24770;25070;24620;3.73K;-0.11%
03/07/2024;24801;24615;24950;24440;4.83K;0.34%
03/06/2024;24717;24080;24750;24010;3.28K;2.11%
03/05/2024;24206;24380;24665;24075;6.36K;-0.03%
03/04/2024;24214;23535;24375;23470;2.03K;2.69%
03/01/2024;23580;23085;23700;22985;1.78K;2.07%
02/29/2024;23102;22875;23215;22720;1.26K;1.09%
02/28/2024;22852;22890;22935;22695;1.83K;0.42%
02/27/2024;22757;22735;22930;22625;47.05K;0.10%
02/26/2024;22735;23180;23180;22675;43.53K;-1.96%
02/23/2024;23189;23005;23240;22800;31.13K;0.81%
02/22/2024;23003;23155;23415;22975;21.22K;-0.39%
02/21/2024;23094;23260;23430;23010;17.80K;-1.10%
02/20/2024;23351;23675;23715;23170;25.42K;1.51%
02/19/2024;23003;23455;23508;22988;;-1.92%
02/18/2024;23453;23473;23480;23420;;-0.98%
02/16/2024;23686;23185;23765;23055;13.42K;2.24%
02/15/2024;23166;22640;23305;22620;15.96K;2.51%
02/14/2024;22599;22365;22725;22190;16.88K;1.05%
02/13/2024;22365;22950;23240;22245;22.60K;-2.68%
02/12/2024;22982;22860;23360;22790;21.47K;0.76%
02/09/2024;22809;22870;23000;22640;10.61K;-0.18%
02/08/2024;22851;22495;22915;22420;12.05K;1.22%
02/07/2024;22576;22715;22735;22490;10.81K;-0.53%
02/06/2024;22697;22645;22790;22565;4.66K;0.25%
02/05/2024;22640;23030;23030;22550;5.05K;-1.63%
02/02/2024;23016;23490;23575;22710;7.31K;-1.88%
02/01/2024;23457;23315;23575;22830;4.54K;0.28%
01/31/2024;23392;23500;23650;23115;4.10K;-0.25%
01/30/2024;23450;23550;23650;23285;4.66K;-0.10%
01/29/2024;23474;23230;23560;23115;3.02K;1.64%
01/26/2024;23095;23235;23315;23040;2.76K;-0.23%
01/25/2024;23148;22985;23360;22985;3.15K;0.17%
01/24/2024;23108;22790;23305;22695;2.40K;1.89%
01/23/2024;22679;22430;22800;22385;2.44K;0.73%
01/22/2024;22515;22960;22990;22265;3.71K;-1.82%
01/19/2024;22933;23110;23200;22840;1.40K;-0.42%
01/18/2024;23029;22920;23120;22750;1.54K;0.61%
01/17/2024;22890;23280;23290;22885;1.93K;-1.84%
01/16/2024;23318;23560;23715;23250;2.18K;-0.04%
01/15/2024;23328;23323;23497;23273;;0.02%
01/14/2024;23323;23350;23352;23317;;-1.00%
01/12/2024;23558;23190;23935;23170;2.35K;2.72%
01/11/2024;22934;23315;23610;22860;2.64K;-1.55%
01/10/2024;23296;23395;23515;23170;2.24K;-0.11%
01/09/2024;23321;23550;23775;23315;1.75K;-0.93%
01/08/2024;23539;23600;23625;23250;2.69K;-0.02%
01/05/2024;23544;23435;23915;23200;1.97K;0.54%
01/04/2024;23417;23425;23475;23110;2.49K;0.14%
01/03/2024;23385;24105;24155;23280;2.72K;-3.32%
01/02/2024;24189;24275;24565;24105;2.34K;0.58%
01/01/2024;24050;24027;24090;24027;;-1.11%
12/29/2023;24321;24420;24445;24000;2.20K;-1.18%
12/28/2023;24611;24780;24955;24445;1.10K;-0.12%
