Date;Price;Open;High;Low;Vol;Change
03/15/2021;3325;3388;3388;3313;79.92M;-1.12%
03/12/2021;3363;3275;3375;3275;159.20M;3.46%
03/10/2021;3250;3250;3250;3225;51.90M;1.17%
03/09/2021;3213;3188;3263;3188;111.84M;-50.00%
03/08/2021;6425;6550;6575;6375;27.05M;-0.77%
03/05/2021;6475;6525;6575;6450;43.62M;-1.15%
03/04/2021;6550;6625;6650;6525;60.31M;-0.76%
03/03/2021;6600;6675;6675;6525;39.27M;0.00%
03/02/2021;6600;6650;6650;6500;81.65M;0.38%
03/01/2021;6575;6225;6600;6225;110.39M;6.91%
02/26/2021;6150;6175;6325;6100;123.10M;-1.99%
02/25/2021;6275;6425;6475;6275;66.81M;-1.57%
02/24/2021;6375;6350;6400;6325;41.25M;0.79%
02/23/2021;6325;6300;6375;6300;44.55M;-0.78%
02/22/2021;6375;6450;6500;6375;53.84M;0.00%
02/19/2021;6375;6250;6400;6200;51.01M;2.00%
02/18/2021;6250;6250;6400;6225;56.99M;-1.57%
02/17/2021;6350;6450;6475;6300;58.71M;-1.93%
02/16/2021;6475;6500;6550;6450;31.60M;-0.38%
02/15/2021;6500;6550;6575;6500;24.50M;0.00%
02/11/2021;6500;6550;6550;6500;17.94M;0.00%
02/10/2021;6500;6575;6575;6475;51.35M;0.00%
02/09/2021;6500;6600;6700;6450;104.19M;-1.14%
02/08/2021;6575;6600;6675;6550;62.53M;0.38%
02/05/2021;6550;6700;6700;6450;48.60M;-0.38%
02/04/2021;6575;6575;6675;6450;69.52M;1.15%
02/03/2021;6500;6600;6650;6450;83.52M;0.39%
02/02/2021;6475;6800;6800;6400;80.24M;-3.36%
02/01/2021;6700;6650;6725;6200;121.27M;1.90%
01/29/2021;6575;7100;7225;6575;167.11M;-6.74%
01/28/2021;7050;7150;7250;6900;67.87M;-3.42%
01/27/2021;7300;7400;7400;7175;85.79M;-1.02%
01/26/2021;7375;7300;7450;7250;103.36M;1.03%
01/25/2021;7300;7250;7300;7025;50.32M;1.39%
01/22/2021;7200;7275;7350;7125;58.68M;-0.69%
01/21/2021;7250;7375;7375;7200;41.03M;-1.69%
